no,kategori_transaksi,event_trigger,platform,kode_debet,nama_akun_debet,kode_kredit,nama_akun_kredit,trigger_dokumen,aturan_keterangan
20,Retur & Pembatalan,Pengembalian Barang Jadi ke Stok Persediaan,Internal Warehouse,1131,Persediaan Produk Jadi,5110,HPP Produk,Bukti Penerimaan Barang Retur,Jurnal pemulihan persediaan atas barang retur kondisi baik
21,Pemasaran Digital,Pembelian Saldo Iklan (Top Up Ads),Shopee Ads / TikTok Ads / Meta,5211,Beban Iklan,1112,Kas di E-Wallet,Invois Top-Up Ads / E-Wallet History,Pembayaran saldo iklan menggunakan Kas/E-Wallet/Credit
22,Pemasaran Digital,Pengeluaran Sampel Produk untuk Endorsement,Internal / Creator,5217,"Beban Konten, Promo & Sampel",1131,Persediaan Produk Jadi,Form Pengeluaran Barang Sampel,Pencatatan persediaan yang dipakai untuk promosi/sampel
23,Pemasaran Digital,Pembayaran Komisi Affiliate kepada Creator Partner,TikTok / Affiliate System,5216,Beban Bagi Hasil & Komisi Affiliate,1121,Piutang Penjualan E-Commerce,Affiliate Payout Deduction,Pemotongan saldo penjualan untuk komisi affiliate eksternal
24,Persediaan & HPP,Pencatatan HPP saat Barang Terjual,Sistem Penjualan / Periodic/Perpetual,5110,HPP Produk,1131,Persediaan Produk Jadi,Laporan Penjualan (HPP Unit),Pengakuan HPP atas barang yang berhasil dikirim/selesai
25,Persediaan & HPP,Biaya Bahan Kemas (Packing Material),Supplier Packing,5120,Beban Pengemasan,1111,Kas di Tangan / Admin,Nota Pembelian Kardus / Bubble Wrap,Pembelian perlengkapan pengemasan barang
26,Operasional & Rekonsiliasi,Pembayaran Langganan Software / SaaS / POS,Platform SaaS / POS,5214,Beban Layanan Aplikasi,1113,Kas di Bank,Invois Langganan SaaS,Biaya bulanan/tahunan software kasir & toko online
27,Operasional & Rekonsiliasi,Penyesuaian Selisih Pembulatan / Selisih Rekonsiliasi,System Reconciliation,5218,Selisih Penyesuaian Rekonsiliasi Platform,1121,Piutang Penjualan E-Commerce,Laporan Rekonsiliasi Sistem,Penyesuaian selisih kecil (< Rp1.000) saat rekonsiliasi e-commerce
28,Operasional & Rekonsiliasi,"Pengakuan Beban PPh Final UMKM 0,5% (Akhir Bulan)",Perhitungan Pajak Bulanan,5410,Beban Pajak Penghasilan Final (PP 55),2140,"Utang PPh Final 0,5%",Kertas Kerja Perhitungan PPh Final,"Pencatatan akumulasi beban PPh 0,5% x Omset Bruto Multi-Platform"
29,Operasional & Rekonsiliasi,Penyetoran PPh Final UMKM ke Kas Negara,Modul Penerimaan Negara (MPN),2140,"Utang PPh Final 0,5%",1113,Kas di Bank,Bukti Penerimaan Negara (BPN) / NTPN,Penyetoran pajak bulanan via Bank/E-Billing
30,Beban Operasional,Pembayaran Gaji Karyawan via Transfer Bank,Bank Operasional,5310,Beban Gaji & Upah Karyawan,1113,Kas di Bank,Slip Gaji / Rekap Payroll & Bukti Transfer Bank,Mencatat pencairan gaji/upah bulanan tim melalui rekening bank usaha
31,Beban Operasional,Pembayaran Gaji / Upah Harian Tunai,Kas Toko / Admin,5310,Beban Gaji & Upah Karyawan,1111,Kas di Tangan / Admin,Kwitansi / Struk Tanda Terima Gaji Tunai,Mencatat pembayaran upah/gaji harian/mingguan yang dibayar tunai dari kas toko
32,Beban Operasional,Pembayaran Operasional Kantor (Listrik/Wifi/ATK),Bank / Kas / E-Wallet,5320,Beban Operasional & Perlengkapan Kantor,1113,Kas di Bank,Struk PLN / Tagihan Indihome / Struk ATK,Mencatat pengeluaran operasional rutin untuk keberlangsungan kantor/toko
